x-coord,y-coord,
40.73025,-73.99355,
40.73021,-73.99402,
40.73003,-73.99406,
40.73014,-73.99654,
40.73126,-73.99507,
40.73435,-73.99959,
40.73379,-74.00201,
40.73358,-74.00247,
40.73471,-74.00314,
40.73698,-74.00387,
40.73747,-74.00397,
40.73858,-74.00389,
40.73851,-74.00338,
40.74002,-74.00310,
40.74026,-74.00355,
40.74091,-74.00575,
40.74110,-74.00550,
40.74137,-74.00619,
40.74187,-74.00770,
40.74223,-74.00809,
40.74396,-74.00667,
40.74438,-74.00674,
40.74623,-74.00530,
40.74787,-74.00458,
40.74809,-74.00526,
40.74837,-74.00558,
40.74972,-74.00648,
40.74979,-74.00689,
40.75017,-74.00812,
40.75005,-74.00829,
40.75097,-74.00859,
40.75139,-74.00842,
40.75276,-74.00781,
40.75323,-74.00758,
40.75296,-74.00783,
40.75229,-74.00793,
40.75077,-74.00863,
40.75014,-74.00862,
40.74856,-74.00815,
40.74817,-74.00804,
40.74587,-74.00815,
40.74384,-74.00893,
40.74157,-74.00873,
40.73961,-74.01009,
40.73902,-74.01002,
40.73729,-74.00992,
40.73505,-74.01024,
40.73285,-74.01050,
40.73027,-74.01061,
40.72789,-74.01104,
40.72565,-74.01130,
40.72517,-74.01138,
40.72324,-74.01161,
40.72133,-74.01200,
40.71894,-74.01254,
40.71857,-74.01259,
40.71842,-74.01433,
40.71850,-74.01612,
40.71859,-74.01656,
40.71771,-74.01679,
40.71540,-74.01718,
40.71394,-74.01751,
40.71294,-74.01543,
40.71210,-74.01763,
40.71197,-74.01782,
40.71033,-74.01852,
40.71026,-74.01821,
40.70916,-74.01694,
40.70736,-74.01688,
40.70697,-74.01728,
40.70575,-74.01769,
40.70518,-74.01789,
40.70502,-74.01573,
40.70344,-74.01404,
40.70290,-74.01453,
40.70248,-74.01295,
40.70226,-74.01276,
40.70212,-74.01179,
40.70209,-74.00918,
40.70256,-74.00888,
40.70328,-74.00744,
40.70357,-74.00709,
40.70515,-74.00525,
40.70533,-74.00480,
40.70675,-74.00285,
40.70680,-74.00229,
40.70713,-74.00060,
40.70743,-74.00029,
40.70884,-73.99792,
40.70894,-73.99681,
40.70919,-73.99453,
40.70927,-73.99391,
40.70933,-73.99156,
40.70924,-73.99214,
40.70933,-73.99203,
40.70972,-73.99184,
40.71119,-73.99202,
40.71122,-73.99238,
40.71246,-73.99236,
40.71303,-73.99292,
40.71339,-73.99294,
40.71464,-73.99279,
40.71484,-73.99251,
40.71496,-73.99242,
40.71692,-73.99150,
40.71780,-73.99118,
40.71916,-73.99018,
40.71903,-73.99125,
40.71983,-73.99200,
40.72126,-73.99179,
40.72156,-73.99150,
40.72204,-73.99165,
40.72188,-73.99169,
40.72121,-73.99246,
40.71975,-73.99228,
40.72009,-73.99257,
40.71999,-73.99261,
40.71886,-73.99340,
40.71897,-73.99281,
40.71908,-73.99271,
40.71897,-73.99276,
