time, galvanic skin response,
1050, 50,
1136, 51,
1224, 52,
1310, 51,
1398, 52,
1484, 51,
1572, 52,
1660, 50,
1746, 52,
1835, 51,
1921, 51,
2009, 61,
2097, 51,
2183, 51,
2271, 59,
2357, 50,
2445, 55,
2533, 46,
2619, 48,
2707, 51,
2793, 51,
2881, 50,
2969, 50,
3055, 49,
3143, 52,
3229, 51,
3317, 50,
3405, 49,
3491, 51,
3579, 50,
3665, 52,
3753, 52,
3840, 51,
3928, 50,
4016, 51,
4102, 51,
4190, 52,
4276, 50,
4364, 52,
4452, 52,
4538, 52,
4626, 49,
4712, 52,
4800, 51,
4888, 52,
4974, 49,
5062, 51,
5148, 50,
5236, 52,
5324, 50,
5410, 52,
5498, 50,
5584, 51,
5672, 52,
5761, 51,
5847, 50,
5935, 50,
6021, 51,
6109, 52,
6197, 51,
6283, 52,
6371, 51,
6457, 51,
6545, 51,
6631, 52,
6719, 51,
6807, 52,
6893, 51,
6981, 51,
7067, 51,
7155, 51,
7243, 51,
7329, 51,
7417, 52,
7503, 52,
7591, 50,
7680, 50,
7766, 51,
7854, 52,
7940, 51,
8028, 51,
8116, 50,
8202, 51,
8290, 51,
8376, 52,
8464, 50,
8552, 52,
8638, 50,
8726, 52,
8812, 52,
8900, 52,
8986, 50,
9074, 51,
9162, 51,
9248, 51,
9336, 50,
9422, 51,
9510, 51,
9598, 51,
9684, 52,
9773, 51,
9859, 51,
9947, 51,
10035, 51,
10123, 51,
10211, 51,
10299, 50,
10387, 56,
10475, 52,
10565, 50,
10653, 51,
10741, 52,
10829, 51,
10917, 51,
11008, 51,
11096, 51,
11184, 52,
11272, 51,
11360, 51,
11448, 51,
11538, 50,
11626, 51,
11714, 51,
11802, 51,
11890, 51,
11978, 52,
12068, 51,
12156, 52,
12244, 52,
12333, 50,
12421, 50,
12509, 51,
12599, 52,
12687, 51,
12775, 50,
12863, 52,
12951, 51,
13041, 51,
13129, 51,
13217, 52,
13305, 52,
13393, 52,
13481, 51,
13572, 51,
13660, 52,
13748, 51,
13836, 51,
13924, 52,
14012, 51,
14102, 51,
14190, 51,
14278, 51,
14366, 50,
14454, 52,
14544, 51,
14632, 51,
14721, 52,
14809, 51,
14897, 52,
14985, 51,
15075, 51,
15163, 51,
15251, 49,
15339, 52,
15427, 51,
15515, 50,
15605, 51,
15693, 50,
15781, 50,
15869, 51,
15958, 50,
16046, 51,
16136, 51,
16224, 51,
16312, 50,
16400, 50,
16488, 51,
16578, 51,
16666, 50,
16754, 50,
16842, 50,
16930, 50,
17018, 56,
17108, 51,
17197, 50,
17285, 50,
17373, 50,
17461, 51,
17549, 50,
17639, 52,
17727, 51,
17815, 50,
17903, 51,
17991, 50,
18079, 50,
18169, 50,
18257, 51,
18345, 51,
18434, 52,
18522, 51,
18612, 51,
18700, 51,
18788, 50,
18876, 51,
18964, 51,
19052, 51,
19142, 51,
19230, 51,
19318, 51,
19406, 51,
19494, 51,
19582, 50,
19673, 52,
19761, 50,
19849, 51,
19937, 50,
20025, 51,
20113, 51,
20203, 51,
20291, 50,
20379, 51,
20467, 50,
20555, 51,
20645, 51,
20733, 51,
20822, 50,
20910, 52,
20998, 51,
21086, 51,
21176, 52,
21264, 51,
21352, 51,
21440, 51,
21528, 50,
21616, 49,
21706, 51,
21794, 51,
21882, 50,
21970, 51,
22059, 51,
22149, 52,
22237, 52,
22325, 51,
22413, 51,
22501, 51,
22589, 51,
22679, 51,
22767, 51,
22855, 52,
22943, 51,
23031, 51,
23119, 51,
23209, 51,
23298, 50,
23386, 51,
23474, 51,
23562, 51,
23652, 58,
23740, 50,
23828, 52,
23916, 50,
24004, 51,
24092, 50,
24182, 51,
24270, 50,
24358, 50,
24446, 51,
24535, 50,
24623, 50,
24713, 50,
24801, 51,
24889, 51,
24977, 51,
25065, 51,
25153, 51,
25243, 51,
25331, 51,
25419, 51,
25507, 52,
25595, 51,
25686, 51,
25774, 51,
25862, 48,
25950, 50,
26038, 50,
26126, 51,
26216, 52,
26304, 51,
26392, 51,
26480, 50,
26568, 51,
26656, 51,
26746, 51,
26834, 51,
26923, 51,
27011, 51,
27099, 51,
27189, 50,
27277, 51,
27365, 51,
27453, 51,
27541, 51,
27629, 51,
27719, 50,
27807, 51,
27895, 51,
27983, 51,
28071, 55,
28160, 51,
28250, 50,
28338, 51,
28426, 51,
28514, 51,
28602, 51,
28690, 51,
28780, 51,
28868, 51,
28956, 50,
29044, 50,
29132, 51,
29222, 50,
29310, 51,
29399, 51,
29487, 51,
29575, 50,
29663, 51,
29753, 52,
29841, 52,
29929, 51,
30017, 51,
30105, 51,
30193, 51,
30283, 56,
30371, 51,
30459, 51,
30547, 50,
30636, 50,
30726, 52,
30814, 51,
30902, 52,
30990, 50,
31078, 51,
31166, 51,
31256, 51,
31344, 50,
31432, 51,
31520, 51,
31608, 51,
31696, 51,
31787, 51,
31875, 51,
31963, 50,
32051, 52,
32139, 51,
32227, 52,
32317, 52,
32405, 51,
32493, 56,
32581, 52,
32669, 51,
32759, 52,
32847, 53,
32935, 53,
33024, 51,
33112, 52,
33200, 50,
33290, 52,
33378, 51,
33466, 51,
